JobTitle,Company,Location,Salary,PostDate,Summary,JobUrl
Senior Machine Learning Engineer,Workday,"Vancouver, BC",,4 days ago,"Experience in machine learning frameworks & toolkits such as Tensorflow, Pytorch, Sklearn.
5+ yrs experience as part of a data science, machine learning, or…",https://ca.indeed.com/rc/clk?jk=5b4f797a6ea099db&fccid=9ac45d217f8342a1&vjs=3
Machine Learning Engineer,Jumio Corporation,"Montréal, QC",,30+ days ago,"Develop machine learning solutions to integrate in our products.
Balance building technically advanced solutions and swiftly shipping.",https://ca.indeed.com/rc/clk?jk=e9b1e2dc889e1a79&fccid=4010626516c5a842&vjs=3
Process Control Engineer - Entry Level,Weyerhaeuser,"Princeton, BC",,2 days ago,"Knowledge of modern machine safeguarding standards. e.g.: ISO13857.
This will be accomplished through hands-on learning, troubleshooting, involvement in process…",https://ca.indeed.com/rc/clk?jk=5e6e733974b020af&fccid=3fcd4dd47c9b850d&vjs=3
MACHINE LEARNING ENGINEER,PNI Digital Media,"Vancouver, BC",,30+ days ago,"Navigate between traditional software development and machine learning implementations.
5+ years' experience focusing on data science, or machine learning.",https://ca.indeed.com/rc/clk?jk=fdadb27e51f73e41&fccid=c467efa14d7654d8&vjs=3
Machine Learning Engineer,Thoughtexchange,Canada,,6 days ago,"Deep understanding on machine learning, deep learning and natural language processing.
Create proof of concept of machine learning products and services using…",https://ca.indeed.com/rc/clk?jk=0f9c3a009e67c987&fccid=c47ea65e25c5087c&vjs=3
Process Control Engineer - Entry Level,Weyerhaeuser,"Princeton, BC",,2 days ago,"Knowledge of modern machine safeguarding standards. e.g.: ISO13857.
This will be accomplished through hands-on learning, troubleshooting, involvement in process…",https://ca.indeed.com/rc/clk?jk=5e6e733974b020af&fccid=3fcd4dd47c9b850d&vjs=3
MACHINE LEARNING ENGINEER,PNI Digital Media,"Vancouver, BC",,30+ days ago,"Navigate between traditional software development and machine learning implementations.
5+ years' experience focusing on data science, or machine learning.",https://ca.indeed.com/rc/clk?jk=fdadb27e51f73e41&fccid=c467efa14d7654d8&vjs=3
Machine Learning Engineer,Thoughtexchange,Canada,,6 days ago,"Deep understanding on machine learning, deep learning and natural language processing.
Create proof of concept of machine learning products and services using…",https://ca.indeed.com/rc/clk?jk=0f9c3a009e67c987&fccid=c47ea65e25c5087c&vjs=3
Research Engineer – Robotics,FPInnovations,"Pointe-Claire, QC",,6 days ago,"Hold a licensed professional engineer certification (P.Eng.);
Knowledge of software development and tools such as ROS, Python, Matlab, OpenCV, machine learning…",https://ca.indeed.com/rc/clk?jk=6393e86f403220f4&fccid=19120eb0620cda21&vjs=3
Machine Learning Engineer,Aspect Biosystems,"Vancouver, BC",,30+ days ago,"As our Machine Learning Engineer, you will be a critical participant in planning the strategic direction and implementation of ML technology within Aspect’s…",https://ca.indeed.com/rc/clk?jk=29e4bee18c05aff6&fccid=e8f9673538446d4b&vjs=3
Learning Experience Designer,AbCellera Biologics,"Vancouver, BC",,1 day ago,"Previous experience with a learning management system or learning experience system.
Partnering with our (awesome!) scientists and technologists to co-develop…",https://ca.indeed.com/rc/clk?jk=a9a50e1261acee87&fccid=6161745df4a18957&vjs=3
Software Engineer - Machine Learning (Remote),Yelp,"Vancouver, BC",,12 days ago,"Experience with machine learning using packages such as xgboost, sklearn, TensorFlow, etc.
Yelp’s machine learning engineers turn raw data into valuable signals…",https://ca.indeed.com/rc/clk?jk=ca945468bcc04e11&fccid=0e94073a1c937bd1&vjs=3
"Machine Learning Engineer, Biometrics",Jumio Corporation,"Montréal, QC",,30+ days ago,"Develop machine learning solutions to integrate in our products.
Passion for learning new things and bringing in new ideas.",https://ca.indeed.com/rc/clk?jk=e0fdf2b5e9b61108&fccid=4010626516c5a842&vjs=3
Machine Learning Engineer,Motion Metrics International Corp.,"Vancouver, BC",,30+ days ago,"3+ years of hands-on experience in developing and implementing and evaluating machine learning models/algorithms.
Proficiency in Python and version control.",https://ca.indeed.com/rc/clk?jk=091338fa7d734ae9&fccid=1b6d791144dc35d9&vjs=3
Data Scientist/Machine Learning Engineer,Staffinity Inc.,"North York, ON","$80,000 - $120,000 a year",30+ days ago,"We offer competitive salaries and great bonuses and perks!*.
Staffinity is looking for an Data Scientist/Machine Learning Engineer for a permanent, full time…",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CfidxgvsSOnPgRcuHcp_ZXLpK83cx41tXvyy8bMUcmwxfKtp3eeTjdnmB8rFe2NV7IzqC9ciaPnXJHOvrkWxBujZBF08WvgIWOdU_3-ZWo9CkctHl-wXsn5TgxZKTRjsXLNFf8e4i6OrH4RhlxXPffbwYBvqr5Y3dtPqOT9ODlzPpYObDWk51LQ8Gk2Hh6EUF1LbkrlKuWYU3PWT9Wfdfn40T44-IMs7xP9lLghE7rTKsT8d_F3oXu0AhZAKE5VNrqvQfJvZF-pmTNvOLccS81c8c5cloL9Q9S8A7CBsgDalIF4CvEn8AWiMWEmo4AqmOUuKKSgOCnOEiUq5D608mGDt1bAjoXSO_wuSLGVBM5DluFRsrWpjUsSwjtZPpBNX-0RkGYyQWFRB7daF0m3EYUhg-MtdSmMePwe42OgOgClPp37GogAPw2ziDcDJ1eCDmLdw9rEiqExp1wJTeU9bEnVdLGZ1LMSs55zMKw84ZUOSUVYJk6jSgS&p=9&fvj=1&vjs=3
Learning Experience Designer,AbCellera,"Vancouver, BC",,2 days ago,"Previous experience with a learning management system or learning experience system.
Partnering with our (awesome!) scientists and technologists to co-develop…",https://ca.indeed.com/rc/clk?jk=3434fd42b3a8ce2a&fccid=1a2f25b5dfcb693f&vjs=3
Data Engineer Intern- Global Markets (5 openings- 8 month placements),HSBC,"Vancouver, BC",,9 days ago,"Global Banking and Markets (GBM) provides financial services and products to corporates, governments and institutions worldwide, building partnerships with them…",https://ca.indeed.com/rc/clk?jk=73e0e2c21866430a&fccid=04c9b139c84ea1b5&vjs=3
Intermediate Machine Learning Engineer,TELUS,"Vancouver, BC",,30+ days ago,The Wireless Service Analytics & Transformation (WSAT) team’s goal is to enable best-in-class wireless experience by developing a customer centric view of…,https://ca.indeed.com/rc/clk?jk=14941f7276e243c4&fccid=4512634d9e7338a8&vjs=3
"Machine Learning Engineer - Modeler, Risk",Square,"Toronto, ON",,3 days ago,"Such machine learning techniques touch on reinforcement learning, decision theory, deep learning sequence modeling, and optimization theory.",https://ca.indeed.com/rc/clk?jk=1fe1c2b181bee656&fccid=09abad886b83c501&vjs=3
"Software Engineer, Machine Learning Platform","Grammarly, Inc.","Vancouver, BC",,30+ days ago,"As a Software Engineer on the Mac Desktop Extension team, you will build a new complex and multifaceted product offering, which will offer you opportunities for…",https://ca.indeed.com/rc/clk?jk=cb906582ade917e1&fccid=0555014e7bce64c3&vjs=3
Mechanical Engineer - Microscope Team,Zaber Technologies,"Vancouver, BC",,14 days ago,Working with our production engineers and technicians to develop assembly and alignment methods and procedures for microscopes.,https://ca.indeed.com/rc/clk?jk=54bc12b113448ffe&fccid=66b10a49576d0d83&vjs=3
"Software Engineer, Machine Learning Platform","Grammarly, Inc.","Vancouver, BC",,30+ days ago,"As a Software Engineer on the Mac Desktop Extension team, you will build a new complex and multifaceted product offering, which will offer you opportunities for…",https://ca.indeed.com/rc/clk?jk=cb906582ade917e1&fccid=0555014e7bce64c3&vjs=3
Protein Engineer – Structural Immunology,AbCellera Biologics,"Vancouver, BC",,2 days ago,"At AbCellera, we’re solving tough problems and creating innovative solutions from the ground up - custom immunizations, microfluidics, high-throughput imaging,…",https://ca.indeed.com/rc/clk?jk=e01a14fff9e4ec6a&fccid=6161745df4a18957&vjs=3
"Machine Learning Intern (ML-Agents), AI@Unity",Unity Technologies,"Vancouver, BC",,23 days ago,Enabling Unity developers to train character behaviors using machine learning techniques such as deep reinforcement learning and imitation learning.,https://ca.indeed.com/rc/clk?jk=34a3b1ef4e3f5478&fccid=880e4714f2ad94a8&vjs=3
Machine Learning Engineer,IMRSV Data Labs,"Ottawa, ON",,30+ days ago,"Research and experimentation on different machine learning algorithms.
Support developing state of the art machine learning algorithms.",https://ca.indeed.com/rc/clk?jk=72f25537d8934817&fccid=ae671ae500d3e8e3&vjs=3
Protein Engineer – Structural Immunology,AbCellera,"Vancouver, BC",,2 days ago,"At AbCellera, we're solving tough problems and creating innovative solutions from the ground up - custom immunizations, microfluidics, high-throughput imaging,…",https://ca.indeed.com/rc/clk?jk=42a38909f2b1418a&fccid=1a2f25b5dfcb693f&vjs=3
Research Engineer – Robotics,FPInnovations,"Pointe-Claire, QC",,6 days ago,"Hold a licensed professional engineer certification (P.Eng.);
Knowledge of software development and tools such as ROS, Python, Matlab, OpenCV, machine learning…",https://ca.indeed.com/rc/clk?jk=6393e86f403220f4&fccid=19120eb0620cda21&vjs=3
Machine Learning Engineer,Unbounce,"Vancouver, BC",,30+ days ago,"An understanding of the performance and accuracy tradeoffs in machine learning.
5 or more years of experience working with machine learning and data engineering…",https://ca.indeed.com/rc/clk?jk=898f24f6a1d523f2&fccid=7b7909227bb8e2af&vjs=3
Machine Learning Engineer (Intermediate),Mosaic,Canada,,5 days ago,"Staying on top of the latest machine learning trends, bringing knowledge around new key research areas into algorithm development.",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DwpplGws0eCtCh3_O_xHEipPEkem39p_MiYAglpsMKvHt3GX9WvDlC1I4MlRV4aOzn3jFVuIoBYp2VmM9l1jmTDaAQM5fsZHcknI-acavNYErZTQorXLdLOrrNUyvKAZ47jioWvCiLv96TOl0HmllDosZ0P79vF49Yut0hnZS9a1lPeSzGyZyrgzlHBCtHe8RbpYwPVlKyFvVjfb7ZTZ0fNubIIAM_NqcLSnzfUDirJoTLpSPSpYFw4-aCGmGa2hB85wMR8NcFtY2PhPg6uOcAXIfmOs78sogOkZn4EfPndcGDh-rpAsk79QfR28HUDOvFJTteixTu128T-V9C9bGcKLehnATKS_p2c1yUV77ljCrMDPRTkZSLr5kYKFGYpwDIHSyPAHUa5RYTCaobJ3iTcJsM6FkKVP1Fbx9ISPEVkYjzff9-JMpkOVMpH0vd7EQrrvRq8jabXHSCtP99GwFYd9e6fgpefCHsPA4mpPzhswhg4t7eSaiY&p=8&fvj=1&vjs=3
Applied Scientist (Remote),Yelp,"Vancouver, BC",,12 days ago,"Experience with predictive modeling/machine learning, forecasting, or causal inference.
Applied scientists uncover these insights through exploratory research…",https://ca.indeed.com/rc/clk?jk=88cf8b7d9484879e&fccid=0e94073a1c937bd1&vjs=3
Data Engineer - Visualization,Extreme Networks,"Montréal, QC",,10 days ago,Utilize a variety of distributed computing platforms and tools to build scalable ETL / machine learning pipelines to meet the team's objective.,https://ca.indeed.com/rc/clk?jk=6e21a959e86eb557&fccid=3c1ccc4616711149&vjs=3
Computer Vision Engineer,Faimdata,"Montréal, QC","$76,854 - $93,932 a year",11 days ago,"Collaborate with hardware and backend engineers to meet requirements.
Deep learning frameworks such as PyTorch, Tensorflow, TensorRT, etc….",https://ca.indeed.com/company/Pure-Entertainment-Holdings-Limited/jobs/Computer-Vision-Engineer-568f8ffaa2462d0c?fccid=699d9bbc9ce9407f&vjs=3
Guest & Employee Experience Coordinator,AbCellera,"Vancouver, BC",,11 days ago,"Monitoring and maintaining a high quality functional working environment by supporting day to day operations.
Ensuring colleague and visitor safety by verifying…",https://ca.indeed.com/rc/clk?jk=a624a4a99d1e1877&fccid=1a2f25b5dfcb693f&vjs=3
Machine Learning Scientist - Sequence Space,AbCellera Biologics,"Vancouver, BC",,12 days ago,"Experience developing production grade machine learning models.
Optimize machine learning and data science pipelines with a focus on scalability.",https://ca.indeed.com/rc/clk?jk=171fb8ac05a5aa99&fccid=6161745df4a18957&vjs=3
Data Scientist/Machine Learning Engineer,Staffinity Inc.,"North York, ON","$80,000 - $120,000 a year",30+ days ago,"We offer competitive salaries and great bonuses and perks!*.
Staffinity is looking for an Data Scientist/Machine Learning Engineer for a permanent, full time…",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CfidxgvsSOnPgRcuHcp_ZXLpK83cx41tXvyy8bMUcmwxfKtp3eeTjdnmB8rFe2NV7IzqC9ciaPnXJHOvrkWxBujZBF08WvgIWOdU_3-ZWo9CkctHl-wXsn5TgxZKTRjsXLNFf8e4i6OrH4RhlxXPffbwYBvqr5Y3dtPqOT9ODlzPpYObDWk51L2Jc0-5N0NkPQUYDLw9pMQklSgxYzHc5OI8epvc09CWRfTOTPFDsuY1hf_shXnoi5Mg7YiTsZNOFUm3KAMhfBTXmU-l0xiK6iT4RV9iaasJ1ALSdoJL2nK3LsX4NsTIf1Pk3fEHqulW_c8sgPMtmV505iO2yYguAORfF8oUG1qiPXFBk1N_qN6JhCIfuBLu_Q8sjArUSCeWwPz-xzrXzlFfXlAj_cL1GhO9HdXcrShLVN9BoGvNmJJU_N4DB5pwSoYe4KnEbV2_mfBElUkZIXS03sWFjUfiRDl57Jd31wmN7Q-M5219XzdmS9iq8YvZnP&p=14&fvj=1&vjs=3
Software Engineer (Machine Learning),Microsoft,"Vancouver, BC",,28 days ago,"Deploy machine learning solutions to improve Skype/Teams real-time collaboration quality and reliability.
Minimum of 1 years of experience in machine learning…",https://ca.indeed.com/rc/clk?jk=77bcf447327977a9&fccid=734cb5a01ee60f80&vjs=3
Data Engineer - Visualization,Extreme Networks,"Montréal, QC",,10 days ago,Utilize a variety of distributed computing platforms and tools to build scalable ETL / machine learning pipelines to meet the team's objective.,https://ca.indeed.com/rc/clk?jk=6e21a959e86eb557&fccid=3c1ccc4616711149&vjs=3
"Associate Scientist, Machine Learning",Zymeworks,"Vancouver, BC",,30+ days ago,"Work closely with protein engineers, drug developers and translational scientists to identify new opportunities, gather requirements, design and develop machine…",https://ca.indeed.com/rc/clk?jk=9b4423df42f2ee76&fccid=e4d981a808c200d8&vjs=3
Mechatronics Engineer,AbCellera,"Vancouver, BC",,11 days ago,"Familiarity with machine learning algorithms and tools.
Working collaboratively with life scientists, engineers, and software engineers in a cross-disciplinary…",https://ca.indeed.com/rc/clk?jk=d0f19c93f08f478a&fccid=1a2f25b5dfcb693f&vjs=3
"Sr Data Engineer / Scientist (Fraud, AML)",CryptoKitties,"Vancouver, BC",,1 day ago,"You have 5+ years working experience in data science and or machine learning.
Research and develop how advanced data science techniques and machine learning can…",https://ca.indeed.com/rc/clk?jk=559c81ac97cd5b17&fccid=a63cc068af79e415&vjs=3
"Data Engineer, Intern",Facebook,"Vancouver, BC",,30+ days ago,"Prior knowledge in applied analytics and operationalizing machine learning models is a plus.
Design and develop new systems in partnership with software…",https://ca.indeed.com/rc/clk?jk=b80fc43f967da327&fccid=1639254ea84748b5&vjs=3
Machine Learning Engineer,Opta Information Intelligence Corp.,"Markham, ON",,6 days ago,"Implement a component-based strategy in constructing machine learning architecture.
5+ years of experience building and deploying machine learning models in…",https://ca.indeed.com/rc/clk?jk=3b2b27ee8caa91f3&fccid=5faebc9fafcb4ddb&vjs=3
Data Scientist/Machine Learning Engineer,Staffinity Inc.,"North York, ON","$80,000 - $120,000 a year",30+ days ago,"We offer competitive salaries and great bonuses and perks!*.
Staffinity is looking for an Data Scientist/Machine Learning Engineer for a permanent, full time…",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CfidxgvsSOnPgRcuHcp_ZXLpK83cx41tXvyy8bMUcmwxfKtp3eeTjdnmB8rFe2NV7IzqC9ciaPnXJHOvrkWxBujZBF08WvgIWOdU_3-ZWo9CkctHl-wXsn5TgxZKTRjsXLNFf8e4i6OrH4RhlxXPffbwYBvqr5Y3dtPqOT9ODlzPpYObDWk51LxCAjXTuIDJO_AmfV3BZAdkLeuKicCiPKyq2NPI9_N8jaKrS6oSAnJMSmK1yiK5TpmQjWb5jyGtdqiv1egT9JCyBxqX-GWnSqpEd912DoQE7hc6Yak-vrba3rrYOPIO494KLSF31m6z7fghsGUqUl9hOekG7bs3Z7kbftafqSVeKVtKVb49oFoCshh2MAQhP1n3pLfXzhKyUeieIcmDhbtdUDy6jCYqLvSqeR_HJkKIlewhLuIOZ8RenylTfQAWt4PHLBN3poozNCCD9aJgYVAAGGgHmZOYzxE_uzaizhpT2WaqHoZZZZJ34KA0JPNLQd&p=7&fvj=1&vjs=3
"VP, Machine Learning",Paytm,"Toronto, ON",,5 days ago,"Ability to explain and present analyses and machine learning concepts to a broad technical audience.
You will collaborate with highly innovative engineering…",https://ca.indeed.com/rc/clk?jk=ae523af07d0525cd&fccid=4e917d9a3b14765d&vjs=3
Mechatronics Engineer,AbCellera Biologics,"Vancouver, BC",,12 days ago,"Familiarity with machine learning algorithms and tools.
Working collaboratively with life scientists, engineers, and software engineers in a cross-disciplinary…",https://ca.indeed.com/rc/clk?jk=11b4ac2bbf004756&fccid=6161745df4a18957&vjs=3
"Software Engineer, AI Machine Learning - Remote",Change Healthcare,"Richmond, BC",,30+ days ago,"The Software engineer will also contribute to the development of the AI data pipeline, in particular the expansion of Change Healthcare image annotation…",https://ca.indeed.com/rc/clk?jk=6285ab59145928e1&fccid=b1bd9b34a39d5dcd&vjs=3
Software Engineer - Machine Learning,Workday,"Vancouver, BC",,25 days ago,"Interest in or experience with machine learning methodologies and tools (e.g. pandas, sklearn, keras, tensorflow, etc.).",https://ca.indeed.com/rc/clk?jk=527d5e60d4dd025b&fccid=9ac45d217f8342a1&vjs=3
DevSecOps Engineer,Cisco Systems,"Vancouver, BC",,20 days ago,"We use the cloud to deliver simplified security policy management and dynamic threat intelligence.
With Cisco Cloud Security, customers gain complete visibility…",https://ca.indeed.com/rc/clk?jk=2932c016d554745e&fccid=dfc44f3b8c44a6db&vjs=3
Senior Machine Learning Engineer,realtor.com,"Vancouver, BC",,3 days ago,"Research, build and deploy machine learning and deep learning algorithms.
Mentor the team on data exploration, machine learning, deep learning and developing…",https://ca.indeed.com/rc/clk?jk=d259ad1b67dcc421&fccid=1c8655b948495cbc&vjs=3
